	Alternate Symbols
CDC25C	PPP1R60
CDK2	
CDK4	PSK-J3
CDK6	PLSTIRE
CDKN1A	CAP20,CIP1,P21,SDI1,WAF1,p21CIP1,p21Cip1/Waf1
CDKN1B	KIP1,P27KIP1
CDKN2A	ARF,CDK4I,CMM2,INK4,INK4a,MTS1,p14,p16,p16INK4a,p19,p19Arf
CES1	CEH,CES1A1,CES1A2,CES2,HMSE,HMSE1,SES1
CETP	BPIFF
CFTR	ABC35,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1
CHEK1	CHK1
CHRM2	
CHRM3	
CHRNA3	
CHRNA7	
CHRNB2	
ABCC2	DJS,MRP2,cMRP
COMT	
SLC31A1	CTR1,hCTR1
CRH	CRF
CRP	PTX1
CYP2A6	CPA6,CYP2A
CYP3A7	CP37,P450-HFLA
CYP2B6	CPB6,CYPIIB6
CYP2C19	CPCJ,P450IIC19
CYP2C8	CPC8
CYP2C9	P450IIC9
CYP2C18	CPCI,CYP2C,P450IIC17
CYP2D6	CPD6,CYP2D,P450-DB1,P450C2D
FSCN1	FLJ38511,p55
PXDN	D2S448,D2S448E,KIAA0230,MG50,PRG2,PXN
TUSC3	MGC13453,MRT7,N33,OST3A
GTPBP6	FLJ20977,PGPL
LAGE3	CVG5,DXS9879E,DXS9951E,ESO3,ITBA2
RNASET2	FLJ10907,RNASE6PL,bA514O12.3
SOCS2	CIS2,Cish2,SOCS-2,SSI-2,SSI2,STATI2
HIP1R	FLJ14000,HIP12,HIP3,ILWEQ,KIAA0655
BZRAP1	KIAA0612,PRAX-1,RIM-BP1,RIMBP1
PDLIM7	
NREP	D4S114,P311,PRO1873,PTZ17,SEZ17
ARHGAP29	PARG1
LY86	MD-1,dJ80N2.1
THEMIS2	ICB-1
CEP135	FLJ13621
KIAA0040	
VGLL4	KIAA0121
EDEM1	EDEM,KIAA0212
TRAM2	KIAA0057
SETD1A	KIAA0339,KMT2F,Set1
KIAA0247	
PIEZO1	KIAA0233
SPCS2	KIAA0102
SPOCK2	KIAA0275,testican-2
TESPA1	
FCHSD2	KIAA0769
SV2A	KIAA0736,SV2
IQSEC1	ARF-GEP100,BRAG2,GEP100,KIAA0763
HUWE1	Ib772,KIAA0312,UREB1
CTDSP2	OS4,PSR2,SCP2
BCAP31	6C6-Ag,BAP31,CDM,DXS1357E
SORBS3	SCAM-1,SH3D4,vinexin
CTDSPL	HYA22,PSR1,RBSP3,SCP3
CDK2AP2	DOC-1R,p14
TNIP1	ABIN-1,KIAA0113,NAF1
SLU7	9G8
IGF2BP3	CT98,IMP-3
IGF2BP2	IMP-2
ZMYND11	BS69
TMED10	P24(DELTA),TMP21
SMA5	
C10orf10	DEPP
LSM6	YDR378C
ATXN2L	A2D,A2lp
MTF2	M96,PCL2,TDRD19A
SCAF8	KIAA1116
FNDC3A	KIAA0970,bA203I16.5
MLXIP	KIAA0867,MIR,MONDOA,bHLHe36
ZHX2	KIAA0854
BAHD1	KIAA0945
TRAK1	KIAA1042,MILT1,OIP106
KLRK1	CD314,KLR,NKG2-D,NKG2D
PLCH1	DKFZp434C1372,KIAA1069,MGC117152,PLCeta1
SAMD4A	DKFZP434H0350,KIAA1053,SMG,SMGA,Smaug,hSmaug1
FNBP1	FBP17,KIAA0554
KIAA0754	
CLUAP1	FAP22,FLJ13297,KIAA0643
PLXND1	KIAA0620
FRMD4B	GRSP1,KIAA1013
TBC1D9	KIAA0882,MDR1
NBEAL2	KIAA0540
SYNE2	DKFZP434H2235,KIAA1011,NUA,Nesp2,Nesprin-2,SYNE-2
NUP210	FLJ22389,GP210,KIAA0906,POM210
KIAA0922	DKFZp586H1322,TMEM131L
SOGA2	
DDHD2	KIAA0725,SPG54
EHBP1	KIAA0903,NACSIN
UBR2	KIAA0349,bA49A4.1,dJ392M17.3
KIAA0930	bK268H5.C22.1
SATB2	FLJ21474,KIAA1034
MAN2B2	KIAA0935
KIAA1033	
PHF15	KIAA0239
PSD3	DKFZp761K1423,EFA6R,HCA67,KIAA0942
ARHGEF18	KIAA0521,MGC15913,P114-RhoGEF
MORC3	KIAA0136,NXP2,ZCW5
HMHA1	ARHGAP45,HA-1,KIAA0223
TSPAN15	NET-7
METTL7A	DKFZP586A0522
ASF1A	CIA,DKFZP547E2110
TPGS2	DKFZP586M1523,HsT3006
CCDC69	DKFZP434C171,FLJ13705
LDLRAP1	ARH,ARH2,DKFZp586D0624,FHCB1,FHCB2,MGC34705
PITPNC1	RDGB-BETA,RDGBB,RDGBB1
SH3YL1	DKFZP586F1318
TRIB2	GS3955,TRB2
MCTS1	MCT-1
MAGEH1	APR1
HSPC047	
ZC3H7A	FLJ20318,HSPC055
THYN1	THY28
TRAT1	HSPC062
PACAP	
PBDC1	MGC874
ARMCX1	ALEX1
POP5	
CXXC5	HSPC195,RINF,WID
CAB39	CGI-66,MO25
RP6-213H19.1	
SH3TC1	FLJ20356
GFOD1	ADG-90,FLJ20330
WDR44	DKFZp686L20145,RAB11BP,RPH11
MTMR12	3-PAP,3PAP,FLJ20476,KIAA1682
MARCH5	FLJ20445,MARCH-V
NDE1	FLJ20101
WBP1L	FLJ20154,OPAL1
FNBP1L	FLJ20275,TOCA1
MTMR10	FLJ20313
BANK1	FLJ20706
QRSL1	DKFZP564C1278,FLJ10989,FLJ12189,FLJ13447,GatA
GIMAP4	FLJ11110,HIMAP4,IMAP4
STK32B	HSA250839,STK32,STKG6,YANK2
SLC35E3	BLOV1
SEPT11	FLJ10849
SAYSD1	FLJ11101
EAF2	BM040,U19
ANKS1B	AIDA-1,ANKS2,EB-1,cajalin-2
RGMA	RGM
ANKRD50	KIAA1223
TBC1D14	KIAA1322
CALCOCO1	KIAA1536,calphoglin
SRPRB	APMCF1
ELOVL5	HELO1,dJ483K16.1
CCDC81	FLJ16339,FLJ23514
ABHD4	FLJ12816
DNAJC1	DNAJL1,ERdj1,MTJ1
NARFL	FLJ21988,HPRN,IOP1,PRN
UPF3B	HUPF3B,RENT3B,UPF3X
GNPTAB	KIAA1208,MGC4170
ADIPOR2	ACDCR2,PAQR2
OGFRL1	dJ331H24.1
PLEKHF2	FLJ13187,PHAFIN2,ZFYVE18
FLJ13197	
LINC00341	
MORC4	FLJ11565,ZCW4
BAHCC1	BAHD2,KIAA1447
GIMAP6	FLJ22690
C12orf49	FLJ21415
KIAA2002	
TCEAL4	FLJ21174
DOK3	FLJ22570
CHD9	BC022889,FLJ12178,KIAA0308
ELL3	FLJ22637
CEP70	FLJ13036
FAM49A	DKFZP566A1524,FLJ11080
TSPAN14	DC-TM4F2,MGC11352
LAS1L	FLJ12525
ZCCHC7	AIR1,FLJ22611
SYVN1	DER3,HRD1
TUBB6	HsT1601,MGC4083
TCEAL3	MGC15737
TSPYL5	KIAA1750
ZC3H12C	KIAA1726,MCPIP3
TSPAN17	FBX23
BTBD6	BDPL
LONRF1	FLJ23749,RNF191
KIAA1919	MFSD4B,MGC33953
FLJ14167	
VPS26B	MGC10485,Pep8b
HENMT1	FLJ30525,HEN1
DDIT4L	REDD2,Rtp801L
PHACTR3	
ANTXR2	CMG-2,CMG2,FLJ31074
TARSL2	FLJ25005
OCIAD2	MGC45416
DOCK11	FLJ32122,FLJ43653,ZIZ2
GLT1D1	FLJ31978
TMED6	MGC23911
WDSUB1	FLJ36175,UBOX6
GIMAP8	DKFZp667I133,hIAN6
FAM122B	DKFZp686L20116,RP11-308B5.5
SPTSSA	ssSPTa
SUSD3	MGC26847
JMJD1C	DKFZp761F0118,FLJ14374,KIAA1380
FAM21C	Em:AC012044.3,KIAA0592
GPR110	PGR19,hGPCR36
IL32	NK4,TAIF,TAIFb,TAIFd
CEP170	FAM68A,KAB
LRRC37A	KIAA0563
ZBTB1	KIAA0997,ZNF909
NFASC	FLJ46866,KIAA0756,NF,NRCAML
FAM208A	KIAA1105,RAP140,se89-1
SMCHD1	KIAA0650
TMEM158	RIS1,p40BBp
AATF	CHE-1,CHE1,DED
FAM216A	HSU79274
PSAT1	PSA
TPTEP1	psiTPTE22
LAPTM4B	LC27
NBPF1	FLJ20719,KIAA1693
WSB2	MGC10210,SBA2
THOC2	THO2,dJ506G2.1
KIAA1467	
TGDS	SDR2E1,TDPGD
DHRS4	FLJ11008,SCAD-SRL,SDR-SRL,SDR25C2,humNRDR
SULT6B1	
TPH2	FLJ37295,NTPH
CYP2E1	
SNX13	KIAA0713,RGS-PX1
SNX14	RGS-PX2
CYP3A4	
CCL2	GDCF-2,HC11,MCAF,MCP-1,MCP1,MGC9434,SMC-CF
RAPGEF2	DKFZP586O1422,KIAA0313,PDZ-GEF1,RA-GEF
UCN3	SPC,UCNIII
SCN3B	HSA243396
CACNA2D4	
POLR1B	FLJ10816,FLJ21921,RPA2,Rpo1-2
CYP3A5	CP35,P450PCN3,PCN3
CYP7A1	
CYP11B1	CPN1,FHI,P450C11
VKORC1	
GSTO2	
GSTO1	GSTTLp28,P28
UCN2	SRP,UCN-II,UCNI,URP
CDC42SE2	FLJ21967,SPEC2
CYP11B2	ALDOS,CPN2,CYP11BL,P-450C18,P450aldo
ALG10	ALG10A,DIE2,FLJ14751
FRS2	FRS2A,FRS2alpha,SNT-1,SNT1
EPN1	
C14orf132	
PODXL2	PODLX2
FAHD2A	CGI-105
SF3B4P1	
RBM17	MGC14439,SPF45
SULF1	KIAA1077,SULF-1
C19orf21	DKFZp686H18209
HCG4P9	HCGIV-09,HCGIV-9
C1orf50	MGC955
VTI1B	VTI2
MAPK6PS4	Erk3ps4
RAPGEF4	CGEF2,cAMP-GEFII
KRTAP13-4	KAP13.4
ZCCHC2	FLJ20222,FLJ20281,KIAA1744
CD83P	
SAMD7	DKFZp686E1583
SORCS1	sorCS1
ZNF322	bA457M11.2,bA457M11.3
ADCK1	FLJ39600
SEC61A2	FLJ10578
NXPE2	FLJ25224
DDHD1	KIAA1705,PA-PLA1
RPS27P1	bA108M11.3
ZNF469	KIAA1858
FAM122A	MGC17347
BMS1LP6	
CPSF1P1	dJ90G24.5
NUP35	MP44
GARNL3	DKFZp761J1523,bA356B19.1
PARP14	KIAA1268,pART8
APITD1	CENP-S,CENPS,FAAP16,MHF1
GBA3	GLUC,KLrP
OTUB2	FLJ21916,MGC3102
RPS29P1	
PLD4	
ZNF32-AS3	bA402L1.3
C2orf15	MGC29762
RWDD1P1	
PGLYRP3	PGLYRPIalpha,PGRP-Ialpha,PGRPIA
FBXO33	Fbx33
UCK1	FLJ12255,URK1
TTTY4B	LINC00124
ADIPOR1	ACDCR1,PAQR1
RPL13AP4	
MARCH4	KIAA1399,MARCH-IV,RNF174
TMCC1P	
ZBTB7C	ZNF857C
MESTIT1	MEST-AS1,NCRNA00040
SSH2	KIAA1725
SLC2AXP1	
TAS2R22	T2R22
ANKRD11	LZ16,T13
PROM2	
CALML5	CLSP
SDSL	SDS-RS1
HTRA4	FLJ90724
RRAGC	FLJ13311,GTR2
H2AFB1	
CRB3	MGC17303
DEFB133	
EXOC2	FLJ11026,Sec5p
ABHD13	BEM46L1,FLJ14906,bA153I24.2
NEGR1	IGLON4,KILON,MGC46680,Ntra
LYPD1	MGC29643
CNOT10	FLJ12890,FLJ13165
GLC3C	
OR10V7P	
C18orf8	HsT2591,MIC1
COMMD10	PTD002
MCMBP	FLJ13081,MCM-BP
C14orf166B	
BMPR1APS1	
COPZ2	MGC23008
RANBP20P	
