Domain	Description
14_3_3	14-3-3 homologues
35EXOc	3'-5' exonuclease
4.1m	putative band 4.1 homologues' binding motif
53EXOc	5'-3' exonuclease
A1pp	Appr-1"-p processing enzyme
A4_EXTRA	amyloid A4
A_amylase_inhib	Alpha amylase inhibitor
AAA	ATPases associated with a variety of cellular activities
AAA_PrkA	PrkA AAA domain
AAI	Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family
Aamy	Alpha-amylase domain
Aamy_C	
AARP2CN	AARP2CN (NUC121) domain
acidPPc	Acid phosphatase homologues
ACR	ADAM Cysteine-Rich Domain
ACTIN	Actin
AD	Anticodon-binding domain
Ad_cyc_g-alpha	Adenylate cyclase G-alpha binding domain
ADEAMc	tRNA-specific and double-stranded RNA adenosine deaminase (RNA-specific editase)
Adenylsucc_synt	Adenylosuccinate synthetase
ADF	Actin depolymerisation factor/cofilin -like domains
AdoHcyase	S-adenosyl-L-homocysteine hydrolase
AdoHcyase_NAD	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
ADSL_C	Adenylosuccinate lyase C-terminus
Aerolysin	Aerolysin toxin
AFOR_N	Aldehyde ferredoxin oxidoreductase, N-terminal domain
Agenet	Tudor-like domain present in plant sequences.
Agglutinin	
Agouti	Agouti protein
AgrB	Accessory gene regulator B
AgrD	Staphylococcal AgrD protein
Agro_virD5	Agrobacterium VirD5 protein
AGTRAP	Angiotensin II, type I receptor-associated protein
Aha1_N	Activator of Hsp90 ATPase, N-terminal
AHS1	Allophanate hydrolase subunit 1
AHS2	Allophanate hydrolase subunit 2
AICARFT_IMPCHas	AICARFT/IMPCHase bienzyme
AIP3	Actin interacting protein 3
AIRC	AIR carboxylase
AKAP_110	A-kinase anchor protein 110 kDa
Ala_racemase_C	Alanine racemase, C-terminal domain
ALAD	Delta-aminolevulinic acid dehydratase
AlaDh_PNT_C	Alanine dehydrogenase/PNT, C-terminal domain
AlaDh_PNT_N	Alanine dehydrogenase/PNT, N-terminal domain
ALBUMIN	serum albumin
AlcB	Siderophore biosynthesis protein domain
Ald_Xan_dh_C	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
Aldolase_II	Class II Aldolase and Adducin N-terminal domain
AlkA_N	AlkA N-terminal domain
alkPPc	Alkaline phosphatase homologues
Alpha-amyl_C2	Alpha-amylase C-terminal beta-sheet domain
Alpha-L-AF_C	Alpha-L-arabinofuranosidase C-terminus
Alpha-mann_mid	Alpha mannosidase, middle domain
Alpha_adaptinC2	Adaptin C-terminal domain
Alpha_kinase	Alpha-kinase family
Alpha_L_fucos	Alpha-L-fucosidase
Alpha_TIF	Alpha trans-inducing protein (Alpha-TIF)
AMA-1	Apical membrane antigen 1
Amb_all	
Amb_V_allergen	Amb V Allergen
Amelin	Ameloblastin precursor (Amelin)
Amelogenin	
Ami_2	
Ami_3	
AMOP	Adhesion-associated domain present in MUC4 and other proteins
AMP_N	Aminopeptidase P, N-terminal domain
AMPKBI	5'-AMP-activated protein kinase beta subunit, interation domain
ANATO	Anaphylatoxin homologous domain
ANK	ankyrin repeats
ANTAR	
ANX	Annexin repeats
AP2	DNA-binding domain in plant proteins such as APETALA2 and EREBPs
AP2Ec	AP endonuclease family 2
APC2	Anaphase promoting complex (APC) subunit 2
APPLE	APPLE domain
AraC_E_bind	Bacterial transcription activator, effector binding domain
ARF	ARF-like small GTPases; ARF, ADP-ribosylation factor
Arfaptin	Arfaptin-like domain
ArfGap	Putative GTP-ase activating proteins for the small GTPase, ARF
Arg_tRNA_synt_N	Arginyl tRNA synthetase N terminal dom
ARID	ARID/BRIGHT DNA binding domain
ARM	Armadillo/beta-catenin-like repeats
Arrestin_C	Arrestin (or S-antigen), C-terminal domain
ASCH	
Asparaginase	
AT_hook	DNA binding domain with preference for A/T rich regions
Autotransporter	Autotransporter beta-domain
AWS	associated with SET domains
AXH	domain in Ataxins and HMG containing proteins
B12-binding_2	B12 binding domain
B2-adapt-app_C	Beta2-adaptin appendage, C-terminal sub-domain
B3	B3 DNA binding domain
B3_4	B3/4 domain
B41	Band 4.1 homologues
B5	tRNA synthetase B5 domain
B561	Cytochrome b-561 / ferric reductase transmembrane domain.
B_lectin	Bulb-type mannose-specific lectin
Bac_DnaA_C	Bacterial dnaA protein helix-turn-helix domain
Bac_rhodopsin	Bacteriorhodopsin-like protein
BACK	BTB And C-terminal Kelch
BAF	Barrier to autointegration factor
BAG	BAG domains, present in regulator of Hsp70 proteins
BAH	Bromo adjacent homology domain
BAR	
BASIC	Basic domain in HLH proteins of MYOD family
BATS	Biotin and Thiamin Synthesis associated domain
BBC	B-Box C-terminal domain
BBOX	B-Box-type zinc finger
BCL	BCL (B-Cell lymphoma); contains BH1, BH2 regions
BCS1_N	
Beach	Beige/BEACH domain
BEN	
Bet_v_1	Pathogenesis-related protein Bet v I family
Beta-Casp	Beta-Casp domain
Beta-TrCP_D	D domain of beta-TrCP
BetaGal_dom2	Beta-galactosidase, domain 2
Bgal_small_N	Beta galactosidase small chain
BH4	BH4 Bcl-2 homology region 4
BHD_1	Rad4 beta-hairpin domain 1
BHD_2	Rad4 beta-hairpin domain 2
BHD_3	Rad4 beta-hairpin domain 3
BHL	bacterial (prokaryotic) histone like domain
BID_1	Bacterial Ig-like domain (group 1)
BID_2	Bacterial Ig-like domain 2
BING4CT	BING4CT (NUC141) domain
Biotin_carb_C	Biotin carboxylase C-terminal domain
BIR	Baculoviral inhibition of apoptosis protein repeat
BLUF	Sensors of blue-light using FAD
BMC	
BON	bacterial OsmY and nodulation domain
BOP1NT	BOP1NT (NUC169) domain
BowB	Bowman-Birk type proteinase inhibitor
BP28CT	BP28CT (NUC211) domain
BPI1	BPI/LBP/CETP N-terminal domain
BPI2	BPI/LBP/CETP C-terminal domain
BRCT	breast cancer carboxy-terminal domain
BRICHOS	
BRIGHT	BRIGHT, ARID (A/T-rich interaction domain) domain
Brix	
BRK	domain in transcription and CHROMO domain helicases
BRLZ	basic region leucin zipper
Bro-N	BRO family, N-terminal domain
BRO1	BRO1-like domain
BROMO	bromo domain
Brr6_like_C_C	Di-sulfide bridge nucleocytoplasmic transport domain
